InChIKey,C18-6min-RT (Sec),IsomericSMILES,C18_RP_6min_Predicted(min),Predicted_RT(sec)
HKQYGTCOTHHOMP-UHFFFAOYSA-N,221.4,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,3.3950765,203.70459
HVQAJTFOCKOKIN-UHFFFAOYSA-N,249.6,C1=CC=C(C=C1)C2=C(C(=O)C3=CC=CC=C3O2)O,4.0984774,245.90865
MYXNWGACZJSMBT-VJXVFPJBSA-N,176.4,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,3.1706934,190.24161
JUVIOZPCNVVQFO-HBGVWJBISA-N,240.0,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,4.061408,243.68448
AYMYWHCQALZEGT-ORCRQEGFSA-N,208.8,C1=CC(=C(C=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O)O,3.2307472,193.84483
PEFASEPMJYRQBW-HKWQTAEVSA-N,168.6,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O[C@H]5[C@@H]([C@@H]([C@H]([C@@H](O5)C)O)O)O)C6=CC=C(C=C6)O)O)O)O)O)O)O,3.115755,186.94531
ZZIALNLLNHEQPJ-UHFFFAOYSA-N,216.0,C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O,3.441945,206.51671
HUKSJTUUSUGIDC-ZBEGNZNMSA-N,222.0,C1[C@@H]2[C@H](C3=C(O1)C=C(C=C3)O)OC4=CC5=C(C=C24)OCO5,3.6053598,216.3216
KQMVAGISDHMXJJ-UHFFFAOYSA-N,231.6,COC1=CC(=C2C(=C1)OC=C(C2=O)C3=CC=C(C=C3)O)O,3.3127801,198.76682
LCAWNFIFMLXZPQ-UHFFFAOYSA-N,199.8,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C=C3)O)O,3.4582584,207.4955
SOSLMHZOJATCCP-AEIZVZFYSA-N,195.0,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)O,3.310521,198.63126
VXIXUWQIVKSKSA-UHFFFAOYSA-N,196.2,C1=CC=C2C(=C1)C(=CC(=O)O2)O,2.8714352,172.2861
PADQINQHPQKXNL-LSDHHAIUSA-N,189.0,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O,3.112374,186.74245
LUJAXSNNYBCFEE-UHFFFAOYSA-N,226.8,COC1=CC(=C2C(=C1)OC(=C(C2=O)OC)C3=CC(=C(C=C3)O)O)O,3.3186772,199.12064
ZONYXWQDUYMKFB-UHFFFAOYSA-N,233.4,C1C(OC2=CC=CC=C2C1=O)C3=CC=CC=C3,3.9091928,234.55157
SCZVLDHREVKTSH-UHFFFAOYSA-N,211.8,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,3.330183,199.81097
WEPBGSIAWZTEJR-UHFFFAOYSA-N,207.0,COC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,3.300897,198.05382
BYWLLSQTJBXAPV-UHFFFAOYSA-N,210.0,COC1=C(C(=C2C(=C1)OC(=C(C2=O)OC)C3=CC(=C(C=C3)O)O)O)OC,3.2902431,197.41458
OVSQVDMCBVZWGM-QSOFNFLRSA-N,180.6,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,3.1206532,187.2392
KOMUHHCFAXYRPO-DGHBBABESA-N,175.8,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,3.0842476,185.05486
YQHMWTPYORBCMF-ZZXKWVIFSA-N,210.0,C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2O)O)O)O,3.3056662,198.33997
HGUVPEBGCAVWID-KETMJRJWSA-N,165.6,C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O,3.0189517,181.1371
DUWPGRAKHMEPCM-IZZDOVSWSA-N,256.2,CC(=CCC1=C(C=CC(=C1O)C(=O)/C=C/C2=CC=C(C=C2)O)O)C,4.0162516,240.9751
GDNIGMNXEKGFIP-UHFFFAOYSA-O,216.6,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2)O)O)O)O,3.3484697,200.90819
BMLIIPOXVWESJG-LMBCONBSSA-N,189.0,COC1=C(C=CC(=C1)[C@H]2[C@@H](C3=C(O2)C(=CC(=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)O)CO)O,3.3004546,198.02728
GSBNFGRTUCCBTK-DAFODLJHSA-N,190.8,C1=CC(=C(C=C1/C=C/C(=O)C2=C(C(=C(C=C2)O)O)O)O)O,3.1361914,188.17148
RGNXWPVNPFAADO-NSIKDUERSA-N,202.8,C1=CC(=C(C=C1/C=C\2/C(=O)C3=C(O2)C=C(C=C3)O)O)O,3.3929417,203.5765
ATDBDSBKYKMRGZ-ZDUSSCGKSA-N,175.8,CC(C)([C@@H]1CC2=C(O1)C=C3C(=C2OC)C(=O)C=C(O3)CO)O,3.1772928,190.63757
NZVQLVGOZRELTG-UHFFFAOYSA-N,206.4,CC1=CC(=O)C2=C(O1)C=C3C(=C2OC)C=CO3,3.5930593,215.58356
RSYUFYQTACJFML-DZGCQCFKSA-N,162.0,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O,3.0587163,183.52298
